======================================================================
  QuantHive — Multi-Agent PPO Training
  Episodes: 8000  |  Curriculum: 4 phases
  Device: cuda  |  Seed: 42
======================================================================
/kaggle/working/QuantHive/training/ppo_trainer.py:171: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  mb_cont = torch.FloatTensor(
Ep     0 [easy        ] [trader_0            ] | DD=98.46% | Ret=-98.46% | Viol=53.12% | Fails=15 | 1.5s
Ep    10 [easy        ] [trader_0            ] | DD=2.05% | Ret=-1.59% | Viol=65.00% | Fails=147 | 3.2s
Ep    20 [easy        ] [trader_0            ] | DD=1.53% | Ret=-1.50% | Viol=61.40% | Fails=166 | 3.4s
Ep    30 [easy        ] [trader_0            ] | DD=91.51% | Ret=-91.51% | Viol=84.62% | Fails=10 | 0.1s
Ep    40 [easy        ] [trader_0            ] | DD=95.79% | Ret=-95.79% | Viol=56.52% | Fails=35 | 0.2s
Ep    50 [easy        ] [risk_manager_0      ] | DD=78.63% | Ret=-78.49% | Viol=39.80% | Fails=708 | 3.3s
Ep    60 [easy        ] [risk_manager_0      ] | DD=90.02% | Ret=-90.00% | Viol=33.61% | Fails=110 | 0.7s
Ep    70 [easy        ] [risk_manager_0      ] | DD=1.10% | Ret=-0.65% | Viol=33.80% | Fails=164 | 3.5s
Ep    80 [easy        ] [risk_manager_0      ] | DD=96.57% | Ret=-96.57% | Viol=59.26% | Fails=4 | 0.2s
Ep    90 [easy        ] [risk_manager_0      ] | DD=97.21% | Ret=-97.08% | Viol=39.39% | Fails=152 | 2.9s
Ep   100 [easy        ] [portfolio_manager_0 ] | DD=4.87% | Ret=-2.29% | Viol=37.20% | Fails=69 | 3.3s
Ep   110 [easy        ] [portfolio_manager_0 ] | DD=87.03% | Ret=-86.65% | Viol=36.20% | Fails=598 | 3.5s
Ep   120 [easy        ] [portfolio_manager_0 ] | DD=86.35% | Ret=-86.21% | Viol=32.40% | Fails=461 | 3.3s
